procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 7  0      0 252808  38828 1513316   0    0     0    60 40194 87401 15 25 59 0 0  0
 4  0      0 252556  38828 1514272   0    0     0    60 39187 88429 15 25 60 0 0  0
13  0      0 252304  38828 1514832   0    0     0  5356 39668 86926 16 24 59 0 0  0
 3  0      0 251044  38836 1515876   0    0     0    60 40730 88788 17 28 55 0 0  0
 5  0      0 248552  38836 1516392   0    0     0     0 39436 86432 14 24 62 0 0  0
 6  0      0 248076  38836 1517400   0    0     0    24 40849 88772 16 25 58 0 0  0
 5  0      0 247600  38836 1518088   0    0     0    40 40682 89621 17 28 55 0 0  0
10  0      0 247124  38844 1519040   0    0     0    68 37553 80930 15 25 60 0 0  0
 5  0      0 246396  38844 1519724   0    0     0     0 38448 84176 15 24 62 0 0  0
 3  0      0 245136  38844 1520368   0    0     0    24 41831 93470 17 26 57 0 0  0
11  0      0 242140  38844 1521292   0    0     0     0 41955 94947 16 27 56 0 0  0
 7  0      0 241888  38844 1522204   0    0     0    56 39913 87475 16 25 59 0 0  0
 0  0      0 241664  38852 1522972   0    0     0    24 40056 89162 16 26 58 0 0  0
 1  0      0 240908  38852 1523720   0    0   108    24 38978 87253 17 24 59 0 0  0
 0  0      0 240404  38860 1524704   0    0     0    60 41332 92061 17 27 56 0 0  0
 8  0      0 238920  38860 1525412   0    0     0    24 36118 79337 14 24 61 0 0  0
 2  0      0 238920  38860 1526200   0    0     0    40 38284 85248 16 25 59 0 0  0
 8  0      0 237940  38860 1526932   0    0    44    24 41227 91482 17 27 56 0 0  0
 9  0      0 237436  38860 1527716   0    0     0     0 37175 82179 17 25 58 0 0  0
 0  0      0 235980  38864 1528624   0    0     0    60 37987 82712 16 27 57 0 0  0
 4  0      0 234244  38864 1529412   0    0     0     0 42271 92151 17 27 56 0 0  0
procs -----------memory---------- ---swap-- -----io---- -system-- -------cpu-------
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa st gu
 1  0      0 233768  38872 1530152   0    0     0    84 41810 89237 15 26 59 0 0  0
 5  0      0 233516  38872 1531020   0    0     0     0 39236 86092 16 24 59 0 0  0
12  0      0 232032  38872 1531820   0    0     0    24 40174 88221 16 28 56 0 0  0
 3  0      0 231780  38872 1532436   0    0     0    24 37815 83437 16 23 61 0 0  0
 8  0      0 230520  38872 1533472   0    0     0    36 39686 88053 17 29 54 0 0  0
12  0      0 229260  38888 1533992   0    0     0    92 39833 85337 15 26 59 0 0  0
 0  0      0 228532  38888 1534944   0    0     0    24 43212 94053 19 29 52 0 0  0
 8  0      0 227552  38888 1535616   0    0     0    28 38654 86436 14 25 60 0 0  0
 0  0      0 227300  38888 1536444   0    0     0     4 40106 88104 16 26 58 0 0  0
11  0      0 226068  38888 1537216   0    0     0    20 40564 89181 18 26 56 0 0  0
13  0      0 225088  38896 1538032   0    0     0    84 39754 89490 15 28 58 0 0  0
16  0      0 224360  38896 1538736   0    0     0    24 35891 77969 15 25 60 0 0  0
 7  0      0 223380  38896 1539432   0    0     0 24192 38362 87870 17 30 53 0 0  0
